chunk_id,year,heading,text,label
9d23fb15380b382a,2023,"Employees are treated like people, not line items.","Employees are whole people, with families, hobbies, and lives outside of work. We work remotely, keep non-traditional hours, and use unlimited vacation to create work-life ""fit"" for us and the people we love.",benefits_perks
4ca5a15a4f5d2462,2018,Why Today’s “Working Mom” is Your Company's Best Asset,"I’d only been back to work from maternity leave for a few weeks when my son came down with an awful cold. My husband took him to the doctor and they gave us some advice: The more you can breastfeed him, directly from your body versus pumping, the faster he’ll get better. That was my honest reaction to my first conflict between motherhood and my career. Should I leave early and go home to my son? Do I work from home for a few days so I can nurse him in real time? I just got back from maternity leave. What about my team? My work? My husband and I are “progressive”; he is a “stay-at-home-dad” and I’m a “working mom.” So shouldn’t I let him handle it? If he was a woman and I was a man, I probably wouldn’t be rushing home and I certainly wouldn’t be rushing home to breastfeed. I got that phone call as I was walking into a meeting with a management coach we use at HubSpot. Let’s call her Andrea. I walked into that meeting with Andrea where I should have been focused on my professional development, and all I could think about was this looming decision. I work for an amazing company with flexible schedules, an unlimited vacation policy, a culture that supports remote work, and great spaces for pumping mamas . And yet, I was still racked with guilt and indecision. Guilt that if I went home, I wasn’t doing the right thing for my company. Guilt that if I didn’t, I wasn’t doing the right thing for my son.",employee_story
8dea7f2ff044a7db,2013,Why Services at HubSpot?,"You love being on the front lines; teaching people how to succeed with the latest tools and techniques, building their confidence and skills, and supporting them at every single stage of the customer lifecycle. Services team members at HubSpot combine an astonishing level of technical prowess with a true empathy for the customer, resulting in helpful guidance, timely assistance, and an extraordinary level of care that you just dont find anywhere else.",job_listing
e626cbac7a5a8008,2025,Accessibility and Accommodations,HubSpot is committed to providing an accessible and welcoming candidate experience for all.,process_logistics
aadcbe4127c8da31,2021,HubSpot's Diversity Commitments,"As a company, we aspire to build a company that reflects the diversity of our customers around the world. Read more...",mission_brand
53c66fd8ff7e0e75,2019,Open Positions in Product & Engineering,Click to learn about HubSpot's coding assessment for engineering roles.,job_listing
3110a11f3bbdacc2,2019,Trust Yourself,"For recent graduates, job searching can be scary and seem like unchartered territory. But like Cat Stevens sang in “On the Road to Findout,” “the answer lies within.” You already know what to do. You’ve done it before. And if you are looking for a place to test out the Smile Test with great results, HubSpot is growing quickly! We’ve got tons of interesting new jobs popping up all over the world (USA, Dublin, Singapore, Sydney, Tokyo, and Berlin). Check them out here .",job_listing
d50935e121a4910e,2018,How We Fixed a Critical Bug in HubSpot's Culture Code,"The first rule of company culture used to be that you didn’t talk about it. Culture should just happen. Talking about your company’s DNA might taint it. Or worse, ruin it. But that’s changed. Today, everybody talks about culture. In fact, the first rule of Culture Club is that you do talk about culture. Culture has gone mainstream, in a good way. The more we talk about culture, the more we can think critically about it. It’s no longer enough to just say you care about creating a company people love. If organizations truly want their people, business, and community to grow, we have to walk the walk. We have to not just build culture, but iterate on it over time. We’ve gone through dozens of iterations of the HubSpot’s Culture Code since it was published a few years ago. At the time, I was asked (politely) to think about this “culture stuff” by my friend, co-founder and HubSpot CEO Brian Halligan. (Which was ironic because as a severe introvert, working on projects pertaining to humans doesn’t exactly come naturally.) We realized that employees felt there was something special about working at HubSpot. Figuring out that “something” was the hardest thing I’ve ever worked on in my career. I spent hundreds of hours talking to employees about culture and getting feedback on what they do, or don’t, love about HubSpot. The product of all those conversations, research, and late nights is our Culture Code. It’s a manifestation of what we value and what gets us out of bed in the morning. Today, the deck has over three million views on SlideShare and is a top reason candidates say they want to work at HubSpot.",mission_brand
388c91abab267513,2024,What's the recruiting process like at HubSpot?,So you’re considering submitting your résumé. What happens next? Learn more about your experience as a candidate at HubSpot.,process_logistics
5683c429186ae30e,2014,Culture,"There's a freedom and openness to working at HubSpot that takes a lot of people by surprise. But the good kind of surprise, like a birthday party.",mission_brand
