chunk_id,company,year,heading,text,stance
37a870de5d60394f,palantir,2022,,"At Palantir, we work for the common good—within our organization and with other organizations around the world.",
18e9ffbca96ad06b,palantir,2026,Discover by Service,Software solutions that power integrated deterrence and enduring advantage for the US and allies.,
1d3c730981a441f4,basecamp,2017,17 years and running,"2016 marks our 17th year in business, yet we feel like we’re just getting started. For our first 15 years we were called 37signals. We changed our name to Basecamp in 2014 to reflect our focus on our most popular product (coincidently named Basecamp). Here‘s the full story about the transition if you‘re interested. Over the years we’ve been fortunate to earn the repeat business of thousands of customers including some of the world’s largest - and smallest - companies. It’s rare that a business tool is equally popular with the big guys and the small guys, but Basecamp is that kind of tool. Freelancers, small shops, mid-sized companies, and multinationals all rely on Basecamp.",
3f7d1d780f60cbfe,shopify,2024,"Care deeply, but accept the bigger picture","To make commerce better for everyone, we also have to serve and support those who we may not agree with. What does it mean? You need to see the bigger picture, and sometimes leave your personal beliefs outside the room.",
109a8d489e1a40d7,palantir,2025,,Palantirians deliver mission-critical outcomes for the West's most important institutions.,
76ea61d084f1e60c,basecamp,2024,What it’s like to work here,"A calm, low-distraction environment where you can do your best work. We work hard to make sure every employee is given the freedom, tools, trust, and support to do the best work of their careers. That’s why so many people who work at 37signals stay at 37signals. We respect everyone’s right to participate in political expression and activism, but we avoid having political debates on our internal communication systems. 37signals as a company also does not weigh in on politics publicly, outside of topics directly related to our business. You should be at peace with both of these stances. We value a calm company and deliberate, concerted effort. You’ll have fewer meetings, hardly any email, and far fewer interruptions than you’re used to. 8-hour days and 40-hour weeks are plenty of time to do great work, so that’s all we expect. It’ll take some getting used to if you’ve been immersed in ASAP culture, but after a while you’ll wonder how you worked any other way. We work in small, independent teams, typically on a 6 week cycle . Everyone at 37signals participates in Everyone On Support every few months, and twice a year the entire company gathers in person. Read our employee handbook for more details on what it’s like to work at 37signals. Make sure you check out the benefits and perks . Spoiler; they’re great . We look forward to getting to know you. Thanks for checking us out.",
6c518edb591399a4,basecamp,2025,What it’s like to work here,"A calm, low-distraction environment where you can do your best work. We work hard to make sure every employee is given the freedom, tools, trust, and support to do the best work of their careers. That’s why so many people who work at 37signals stay at 37signals. We respect everyone’s right to participate in political expression and activism, but we avoid having political debates on our internal communication systems. 37signals as a company also does not weigh in on politics publicly, outside of topics directly related to our business. You should be at peace with both of these stances. We value a calm company and deliberate, concerted effort. You’ll have fewer meetings, hardly any email, and far fewer interruptions than you’re used to. 8-hour days and 40-hour weeks are plenty of time to do great work, so that’s all we expect. It’ll take some getting used to if you’ve been immersed in ASAP culture, but after a while you’ll wonder how you worked any other way. We work in small, independent teams, typically on a 6 week cycle . Everyone at 37signals participates in Everyone On Support every few months, and twice a year the entire company gathers in person. Read our employee handbook for more details on what it’s like to work at 37signals. Make sure you check out the benefits and perks . Spoiler; they’re great . We look forward to getting to know you. Thanks for checking us out.",
eb471ed88193a52e,stripe,2022,The Stripe service,"Through the tools that we build, we want to push the world to create better products and services. We try to take a broad view of what our work adds up to and believe in taking seriously the full long-term consequences of what we create. We won’t just climb the profit gradient. While we’re opinionated in determining what to build, we strive for neutrality in deciding who gets access to the results. That means you will not agree with the values or goals of every Stripe customer. If you voted in the last U.S. presidential election, we processed almost all donations for the other candidate: every major campaign in 2016 ran on Stripe. We think that it is a positive good to increase access to financial infrastructure, irrespective of the customer, so long as the business is operating within the laws of their jurisdiction. We have a variegated team and our values as a company are not simply the union of our values as individuals. Within our core principles, individuals with many different sets of values are welcomed.",
172853dd8e9d0e49,basecamp,2023,What it’s like to work here,"A calm, low-distraction environment where you can do your best work. We work hard to make sure every employee is given the freedom, tools, trust, and support to do the best work of their careers. That’s why so many people who work at 37signals stay at 37signals. We respect everyone’s right to participate in political expression and activism, but we avoid having political debates on our internal communication systems. 37signals as a company also does not weigh in on politics publicly, outside of topics directly related to our business. You should be at peace with both of these stances. We value a calm company and deliberate, concerted effort. You’ll have fewer meetings, hardly any email, and far fewer interruptions than you’re used to. 8-hour days and 40-hour weeks are plenty of time to do great work, so that’s all we expect. It’ll take some getting used to if you’ve been immersed in ASAP culture, but after a while you’ll wonder how you worked any other way. We work in small, independent teams, typically on a 6 week cycle . Everyone at 37signals participates in Everyone On Support every few months, and twice a year we all get together in Chicago to work and play together. Read our employee handbook for more details on what it’s like to work at 37signals. Make sure you check out the benefits and perks . Spoiler; they’re great . We look forward to getting to know you. Thanks for checking us out.",
1ebaf7e924f4e5a9,netflix,2025,Netflix Culture — The Best Work of Our Lives,"At Netflix, we aspire to entertain the world, thrilling audiences everywhere. To do that, we’ve developed an unusual company culture focused on excellence, and creating an environment where talented people can thrive — lifting ourselves, each other and our audiences higher and higher. This document is about that culture, which is based on four core principles: The Dream Team : We aim only to have high performers at Netflix — people who are great at what they do, and even better at working together. People over Process : You get better outcomes when employees have the information and freedom to make decisions for themselves. We hire unusually responsible people who thrive on this openness and freedom. Uncomfortably Exciting : To entertain the world, we need to be bold and ambitious. That means embracing the thrill of what’s next — even when it’s uncomfortable. Great and Always Better : We often say Netflix sucks today compared to where we can be tomorrow. We need the self-awareness to understand what should be better, and the discipline and resilience to get there. While we don’t always live up to these principles, most people who join Netflix are pleasantly surprised by how great their colleagues are and the way we empower people at every level. As our business grows and evolves, our culture (and this document) will, too. What won’t change is our focus on excellence, and our determination to ensure that Netflix remains a place where great people can do the best work of their lives. If this sounds exciting, you’ll probably love it here. But Netflix is not for everyone, so please read on.",
