chunk_id,year,heading,text,label
b0884b02a2d2eba7,2018,Our office,"Our office in SOMA is designed for everyone to work better and happier, and includes unique spaces like a DJ booth and game room. Some of our local GitHub activities include karaoke nights, an annual charitable dodgeball tournament, and various athletic groups.",
2d1eb56cfdb45dd1,2022,Leadership,Meet the leadership team guiding us as we continue on this journey building the world’s largest and most advanced software development platform in the world.,
a55d18c2aff35f8c,2021,Services,Professional Services Solution Architect Remote - US (Washington D.C.) Professional Services Solution Architect Remote - US (Washington D.C.),
9d9ed8b315880c96,2019,Please note that GitHub no longer supports your web browser.,We recommend upgrading to the latest Google Chrome or Firefox .,
6a9d48838e1f9f5e,2021,A diverse and inclusive workplace,"At GitHub, we think that a diverse company is a strong company, and we work hard to foster a supportive and welcoming workplace. Learn more about our commitment to diversity .",
24d55858ffc93552,2020,GitHub Status →,"We continuously monitor the status of github.com and all its related services. If there are any interruptions in service, a note will be posted here.",
da8718e8ffafe1ff,2018,Duration,Your apprenticeship will last six months from October 2018 to March 2019.,
d350a88b603e4da1,2020,Invest in your future,"At GitHub, you’ll have a stake in the future success of our platform with equity grants. For full-time employees, we offer competitive 401k planning with a 50% company match up to the IRS 402(g) annual limit.",
b1178f68ec864eed,2022,Put your health and family first,"Employees in the United States enjoy 100% coverage of health insurance premiums across our medical, dental, and vision plan offerings, including coverage for dependents. We also offer five months of paid family leave to all new parents with the option to use it all at once or throughout the baby’s first year.",
e63b202b539951a2,2024,Where we can hire,We love our remote culture at GitHub and we currently have hiring entities in all the following states and countries.,
