shash,genre,years,alt,heading,text
ec5107486196f0d2,belonging_dei,"2021,2022",0.314,Why is belonging important at Google?,Can we create a world where we all belong?
a191e9320ab279fa,belonging_dei,"2021,2022",0.305,Why is belonging important at Google?,"Not all situated the same, but can we create a world in which our shared humanity becomes real?"
6d1285f06884f00f,belonging_dei,"2022,2023",0.292,"In a world where everyone belongs, anything is possible.","POWELL: How do we actually create a world in which our shared humanity becomes real, a world where everyone can belong?"
df1d9fdd4376634f,belonging_dei,"2024,2025",0.267,Explore more of our belonging work,"In 2023 we deepened our global belonging efforts to build a world where belonging is the norm, not the exception."
71c4872bdf642e4a,belonging_dei,"2022,2023",0.251,"In a world where everyone belongs, anything is possible.",JUAN RAJLIN: What we’re trying to create is a culture where literally everyone can reach their full potential.
59b2b2d5ae02ea31,belonging_dei,"2022,2023",0.248,Explore more of our belonging work,A world of belonging includes care for our planet.
6caf20beba1b3cd7,belonging_dei,"2021,2022",0.239,2020 was a year of challenges that had a profound impact on how we work and live.,"We recognize our responsibility to meet this moment and believe the greatest contribution we can make to changing these structural inequities is sustained action within our company, our communities, and the world."
fd711619ef07f7c5,belonging_dei,"2018,2019",0.223,3. Overarching strategy,We seek to embrace diversity and create the conditions for everyone to thrive.
ebe5971e4f3b5478,belonging_dei,2025,0.222,Shifting the story about how disabled people are represented in marketing and media,"We partnered with actor, author, and advocate Selma Blair to share these resources with the world and shine a spotlight on our shared mission to shift the story about how disabled people are represented in society."
e59a1b8cd82dd728,belonging_dei,"2019,2020",0.221,Conclusion,That’s why in 2019 we challenge ourselves and others to think differently so that we widen pathways to tech.
5f6fd67855d4c052,belonging_dei,2025,0.221,"In a world where everyone belongs, anything is possible.",“Building belonging for everyone means ensuring no one is left out and each person can thrive.”
c4230140ae9552c4,belonging_dei,"2017,2018",0.218,Building a Google that works for everyone,"And while progress will take time, our actions today will determine who we are in the future."
88da6424ace8ffbb,belonging_dei,"2019,2020",0.214,Community inclusion,"Objectives for the event were to build community, share human stories behind the trends we saw in the data, and align on a collective agenda to accelerate change."
2f9b17536fb5503d,belonging_dei,"2022,2023,2024,2025",0.214,"How we’re working to better recruit, hire, and co-create with Googlers with disabilities","We’re actively working to make Google a place where everyone can learn, grow, and have an impact."
855c6170dbc1c6ab,belonging_dei,"2021,2022",0.213,From awareness to action,It’s through collective action that we can make the largest impact on these deep structural issues.
356c08981123474e,belonging_dei,"2021,2022",0.212,2020 was a year of challenges that had a profound impact on how we work and live.,"These issues deeply impacted us all, at Google and around the world, serving as a reminder that systemic barriers still hold too many back."
82c441551a21b931,belonging_dei,2023,0.210,How we’re continuing to show up for communities at work and beyond,"Across Google, we’re sustaining our commitment to building sustainable equity for communities worldwide."
694a8534350242e8,belonging_dei,2020,0.205,2020 Diversity Annual Report,"We’re advancing a diverse, accessible, and inclusive Google where everyone feels like they belong."
33d6c755b451e630,belonging_dei,"2021,2022",0.205,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.","We’re advancing a diverse, accessible, and inclusive Google where everyone feels like they belong."
6479ab984eb5e873,belonging_dei,2024,0.202,"In a world where everyone belongs, anything is possible.",Building belonging for everyone means ensuring no one is left out and each person can thrive.
b69482230f7dbb1f,belonging_dei,"2021,2022",0.190,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.","We will continue to build with and for underrepresented groups where structural and systemic barriers to belonging are the highest, as well as co-create solutions to address racial equity, gender equity, and accessibility with experts and leaders around the world."
ebb3f9425d72a303,belonging_dei,"2019,2020",0.187,Community inclusion,We are scaling the impact of the State of Black Women Summit by empowering ambassadors to run local site programs to build community for Black+ women at Google.
961e269684204609,belonging_dei,2025,0.186,"Building technology, together",We’re designing with communities that are often overlooked so that what we build is truly helpful for everyone.
5e2095788a81cae5,belonging_dei,"2021,2022",0.185,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.","In order to tackle structural inequities we face as a society, we must take a systems-level approach."
7890c77db87b4a3a,belonging_dei,"2021,2022",0.180,What has Google learned?,"Melonie : Yes, I want to make sure that we’re not setting boundaries between the U.S. and outside of the U.S., that we are really co-creating our future together."
ca95d1459c6eed35,belonging_dei,"2020,2021,2022",0.179,"Our approach to diversity, equity, and inclusion","As Google continues to grow, we have a responsibility to scale our diversity, equity, and inclusion initiatives to increase pathways to tech in the communities we call home."
10f434fda9b7f439,belonging_dei,"2018,2019",0.178,2018 overall representation,"This represents the beginning of our exploration of intersectional data in the U.S., and we invite others in the tech industry to join us in a more rigorous examination of this space."
566e3a85a5022330,belonging_dei,2022,0.177,Our work to support the Asian American Pacific Islander community,We’re working to support this community and #StopAsianHate.
da4bf9b51c89be96,belonging_dei,"2019,2020",0.176,Business & product inclusion,"Around the world, Google engineers, designers, and marketers are working to understand the needs of communities who have been underrepresented in tech."
69b159c4f3a5ec3f,belonging_dei,"2019,2020",0.176,2. Data powers progress,We believe that data is an important catalyst for change and indicator of progress—that’s why we publish this report.
11067094e879a95f,belonging_dei,"2017,2018",0.175,Building a Google that works for everyone,Google should be a place where people from different backgrounds and experiences come to do their best work–a place where every Googler feels they belong.
c275890308cf67a6,belonging_dei,2023,0.174,"In a world where everyone belongs, anything is possible.","Belonging is not just critical to our survival, it’s essential if we are to thrive. john a. powell (he/him) Director, Othering & Belonging Institute"
ce5b785a49323956,belonging_dei,2022,0.173,Combat Antisemitism,"We recognize the importance of working together with governments and civil society to tackle these issues, and we have a shared responsibility to promote Holocaust remembrance and combat antisemitism, both online and offline."
f39495eae14dc3ca,belonging_dei,"2018,2019",0.172,From unconscious bias to conscious action,We also want to do more to challenge gender stereotypes in Google’s workplace.
1d9a6260141affb6,belonging_dei,"2022,2023,2024,2025",0.172,How we’re building belonging for the military-affiliated community at Google,We’re working to make Google a place where the military-affiliated community can thrive and grow.
e7e7365cd6793318,belonging_dei,"2014,2015,2016",0.170,Culture and Diversity,"We’ve always wanted Google to be a place that brought together smart, talented people from a diversity of backgrounds, and where you could bring your whole self to work."
680305cf41e06897,belonging_dei,"2021,2022",0.170,Why is belonging important at Google?,Everyone is in the circle of human concern.
73fef167d4f722e1,belonging_dei,"2017,2018",0.169,Building a Google that works for everyone,"These commitments require us to look at bias through a wider lens: at Google, in the industry, and in society."
f807c1ce334bb9d5,belonging_dei,"2019,2020",0.167,Community inclusion,"We hosted 19 global Women Techmakers summits and supported more than 300 community-led meet-ups to empower 25,000 women in the tech industry."
