chunk_id,year,heading,text,label
7dd4a53a243917c1,2012,Benefits,"Salesforce.com attracts, engages, and nurtures the best and the brightest—all with an extraordinary benefits portfolio. Here’s how we reward our extremely talented 7,700+ employees worldwide:",
b8e2590d45136722,2007,8:35 a.m.,"Read emails from Marc (CEO), Jim (president), and my manager (RVP) to make sure I'm up to date on what's new with the company, corporate sales, and my team.",
9d9b323613ba85e2,2025,Sales,"As a trusted partner, you won’t just sell AI agents. You’ll work alongside them to accelerate revenue, from pipeline to your paycheck. Guide customers of every size and industry to reimagine their business with the #1 AI CRM.",
cd5253881431702b,2024,Equal Opportunity Statement.,"At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at www.equality.com and explore our company benefits at www.salesforcebenefits.com . Salesforce is an equal employment opportunity and affirmative action employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Know your rights: workplace discrimination is illegal . Salesforce does not accept unsolicited headhunter and agency resumes. Salesforce will not pay any third-party agency or company that does not have a signed agreement with Salesforce. In the United States, compensation offered will be determined by factors such as location, job level, job-related knowledge, skills, and experience. Certain roles may be eligible for incentive compensation, equity, and benefits. More details about our company benefits can be found at the following link: https://www.salesforcebenefits.com .",
a1f49b729d675452,2017,"Together, we’re on a path to success.","Now anyone can be a Customer Trailblazer who transforms their company — and grows their career — using our easy-to-use, yet powerful, technologies and tools.",
d40ad5e18411cee6,2018,,"Products Products Overview Pricing Small Business Sales Sales Cloud Sell faster and smarter with the world's #1 sales platform. Learn More Related products Salesforce CPQ Pardot Salesforce Inbox Partner Relationship Management Salesforce Essentials Sales Cloud Einstein Lightning Dialer Salesforce mobile AppExchange Service Service Cloud Customer and field support with the world's #1 service platform. Learn More Related products Field Service Lightning Customer Self-Service Mobile Messaging Live Agent Chat Video Chat Knowledge Service Analytics AppExchange Lightning Salesforce IoT Marketing Marketing Cloud Deliver consumer engagement at scale with the #1 marketing platform. Learn More Related products Email Studio Mobile Studio Social Studio Advertising Studio Data Studio Journey Builder Salesforce DMP Pardot Commerce Commerce Cloud Unify the shopper experience with the #1 commerce platform. Learn More Related products Digital Order Management Endless Aisle B2B Commerce Communities Community Cloud Build connected digital experiences on the world’s #1 community platform. Learn More Related products Customer Self-Service Partner Relationship Management Employee Engagement Lightning Bolt Customer Stories Resources Collaboration Quip Create, edit, discuss, and organize your team's work, all in one place. Learn More Related products Productivity Live Apps Mobile-First Collaboration Pricing Free Trial Industries Industries Overview Forge a path to success in your industry with the world’s #1 CRM. See all industries Financial Services Cloud Health Cloud Government Cloud Philanthropy Cloud Integration Integration Cloud Connect apps, data, and devices across multiple clouds, orgs, and systems. Learn More Related products Integration Platform Integration Builder Integrated Experiences Platform Salesforce Platform Build, connect, and integrate apps with the #1 enterprise cloud platform. Learn More App Development Lightning Platform No-Code Builders Pro-Code Tools Heroku AppExchange Mobile Dev mySalesforce myEinstein myTrailhead Platform Services Salesforce IoT Shield Einstein Analytics Bolt Identity Customers Small Business Enterprise FEATURED STORY By putting shoppers at the center of its business, adidas keeps winning.",
a8556405665eccbb,2016,Want to know more about #Futureforce?,"Check out 7 Things You Should Know About Interning at Salesforce & Why Millennials Think Salesforce Is One of the Best Places to Work , but don’t stop there. We encourage you to read what our interns have to say about us on Glassdoor and follow the #SalesforceOhana in action on our #FutureForce Instagram , Twitter , and Flickr album . Like what you hear and see? Search our openings!",
7df575bea9392c56,2026,Learn more about life at Salesforce.,"At Salesforce, your career is a journey of growth, innovation, and impact. Learn more about life at Salesforce through our blogs, upcoming events, and on-demand webinars.",
3a688ecdce7a005c,2026,AI Research,"Get ready to develop models and prototypes that pave the way for innovative products at Salesforce. You’ll tackle real-world problems in areas such as image recognition and natural language processing, working on high-impact research alongside company visionaries.",
199599cbc9d27109,2025,Perform your best — in all parts of your life.,"When you join Salesforce, you’re met with the support to bring out your best. With world-class benefits and development resources, we help you prioritize, well, you. And your family. And yes, even you, Fido.",
