chunk_id,year,heading,text,label
8ffb70441d1a6cad,2025,,"Anduril’s Lattice platform has been tested and proven in demanding operational scenarios, including recent major military exercises such as",
09e02f06f81b33d1,2024,,"Iris is a family of airborne autonomous imaging & targeting sensors that leverage advanced imaging technology to support a variety of airborne combat applications, including infrared search and track (IRST), missile warning, visualization, and targeting.",
c9a4eb35dc680282,2023,Unlimited Provisions,"From breakfast to dinner, our kitchen team has you covered with healthy meals and snacks at every office.",
7092e02c321b3508,2025,,"Lattice turns decisions into action in seconds, not minutes or hours.",
694ab3f2157cf346,2024,Real-World Experiences,Lattice for JADC2 has been built through real-world experiences and exercises,
b769f302194febc9,2024,,"These towers have been amazing for us, a great asset because they can see what we can’t see on the ground.",
30deb62bf9f3bac2,2024,Lattice for Command & Control,Lattice accelerates complex kill chains by orchestrating machine-to-machine tasks at scales and speeds beyond human capacity,
0d0f0323b08276c1,2024,,"Ghost is an extended-range, quiet, and expeditionary small UAS that couples a modular design with intuitive autonomy to enable ISR, targeting, and force protection with minimal cognitive load & training.",
d3140fc640d2de9b,2025,,Lattice for Mission Autonomy: An Unfair Advantage for Unrivaled Deterrence,
b690e911ccbcc484,2024,,"Lattice enables operators to collapse kill chains in minutes not hours. By fusing and integrating thousands of sensors and effectors into a single intelligent C2 mission engine, Lattice enables operators understand, decide, and act across multi-domain assets in a single screen.",
d62c758a0be1eb5e,2025,Design & Produce Custom SRMs,Anduril works with customers to design and produce bespoke SRMs for a variety of domains and mission requirements.,
ccc3621c9fe130e3,2025,Future Resistant,Continuous updates & upgrades enable rapid adaptation to new threats.,
7f1666c322b99d2a,2025,Korean Air and Anduril Explore Solutions to Global Wildfire Response,Korean Air and U.S. defense technology company Anduril Industries are exploring the joint development of an integrated response platform to address the growing challenge of large-scale wildfires.,
e18c34ca0e5297f1,2024,,"The Bolt family of systems’ light weight and small form factor mean that any dismounted operator can easily add Bolt or Bolt-M to their equipment loadout. When needed, Bolt-M can be unpacked and airborne in under five minutes, providing warfighters with on-demand precision firepower at a moment’s notice.",
f3bd8a76a5fa4b4a,2025,,"It can be configured to support dismounted operations, expeditionary fixed site deployments, vehicle operations, and roll-on, roll-off aircraft survivability missions.",
80122d8085434efc,2025,,"Microsoft (Nasdaq “MSFT” @microsoft) creates platforms and tools powered by AI to deliver innovative solutions that meet the evolving needs of our customers. The technology company is committed to making AI available broadly and doing so responsibly, with a mission to empower every person and every organization on the planet to achieve more.",
d4f9dd1b56a5a402,2024,,"Working in partnership with a variety of mission partners from both government and industry, Lattice for Mission Autonomy will support Replicator systems across domains, enabling warfighters to operate intelligent, collaborative teams of autonomous systems. Anduril will deploy Lattice for Mission Autonomy’s open architecture to enable the rapid integration of large numbers of disparate autonomous systems - including both Anduril and third-party platforms - into a common mission autonomy software baseline. Once integrated into Lattice™, an operator will be able to unify a group of systems’ sensors, control systems, payloads, and weapons, enabling the operator to then task that team to conduct a variety of collaborative missions such as area search, target tracking and interception, signal relay, simultaneous arrival, strike, and more.",
fb7c0bed561a664f,2024,,"(the “Site”). The Site is owned and operated by Anduril Industries, Inc. (“Anduril”). The Site is offered subject to your (and the organization you represent) (together, “User” or “You”) acceptance without modification of all of the terms and conditions contained herein and all other operating rules, policies and procedures that may be published from time to time on the Site by Anduril. BY USING OR ACCESSING ANY PART OF THE SITE, YOU AGREE TO ALL OF THE TERMS AND CONDITIONS CONTAINED HEREIN; IF YOU NOT AGREE, DO NOT USE OR ACCESS THE SITE. Anduril reserves the right, at its sole discretion, to modify or replace any of the terms or conditions of this Agreement at any time. It is User’s responsibility to check this Agreement periodically for changes. User’s continued use of the Site following the posting of any changes to this Agreement constitutes acceptance of those changes.",
7ee03625e792aff4,2024,,DIVE-LD is an Autonomous Underwater Vehicle that rapidly reconfigures to integrate diverse payloads and go long distances without being detected. It brings together advanced autonomy and multi-sensor integrations with a low logistical footprint to deliver a new capability to the subsea domain.,
8141c89413082f60,2024,,"Optimized propellers, high KV brushless motors, and a 50 V battery design allow for maximum maneuverability and interception speed.",
b79edef329921df6,2024,Production at Scale,"With 9 buildings across more than 450 acres, Anduril’s SRM manufacturing facilities can produce 3,000+ SRMs per year.",
00c71e1c2e74ca46,2025,,"Copperhead leverages a mountable hull design with automated release mechanisms and onboard launch software protocols to enable interoperability, integration, and deployment from a variety of autonomous host vehicles – including Dive-XL. ​",
7f560a01bd49a12a,2025,Connected by Design,"EagleEye connects every warfighter to a digital arsenal of effects, sensors, tools, and comms through an open application system and mission command architecture.",
a4e75582af8031ae,2023,Laser Eye Surgery,Covered up to $2500 per eye with a provider of your choice (in and out of network).,
95b20acef845c3b8,2025,,"Copperhead-M enhances naval operations and lethality by arming the growing autonomous fleet with affordable mass to engage maritime threats more precisely, effectively, and at scale.​​",
82901278a1008bd6,2024,,"Modular design enables rapid reconfiguration between RF, IR, and other capabilities and payloads on the flight line to support a variety of missions.",
7ca76de7523fd293,2025,,Anduril Industries Successfully Test Fires Hypersonic Solid Rocket Motor for the U.S. Navy,
220f5c57497dba8f,2025,,This approach represents a method to modernize our current sensors and systems without having to upgrade the entire hardware platform.,
53990b7596c72ed9,2025,,"Munition variant of Anvil, developed through customer feedback from real-world combat operations.",
f6823b99734bac58,2025,,"As threats to Taiwan grow, so do the risks to regional security and global prosperity. Ensuring Taiwan can defend itself with asymmetric, combat-effective capabilities is critical to American interests. Taiwan is making historic investments in its own defense, including through acquisition of autonomous precision strike platforms such as Altius.",
9cd84d0bf61e4726,2024,,We are in hyper growth mode. Our goal is that our interns can convert to full-time new grad roles with Anduril post-graduation.,
8a32d3995980f496,2025,,"“Korean Air is the leading UAS development company in Korea, and Anduril, which possesses leading AI and manned-unmanned hybrid software technology, will meet the Korean military's drone mission autonomy requirements and mark a new turning point in the global drone market” said officials from Korean Air.",
a644c8d3a2a895f9,2025,,"Stay ahead of incoming threats with RF signature detection, rearview cameras, non-emissive lasers, biometric and environmental sensors, and real-time battlefield alerts.",
516e6ac6fdacf716,2024,,The battlefield has changed. How we deter & defend needs to change too.,
b434ff8d2e6c43d8,2022,Culture,"Our team is a collective of intelligent and curious individuals who share the common goal of creating a safer tomorrow - and living balanced, fulfilled lives while doing so.",
4d3750ed0fea1c13,2024,,"Roadrunner-M can take off, follow, and intercept distant targets at the first hint of danger, giving operators more information and time to assess the target and rules of engagement.",
d37e46f139d3e843,2025,Introducing Fury - Autonomous Air Vehicle,"Fury is a high-performance, multi-mission Autonomous Air Vehicle (AAV) built for the high-end fight.",
6319f3b2ca8540f9,2025,,"(1) Pulsar is not approved by the FCC for sale or operation in the United States; (2) Pulsar may only be purchased by the U.S. federal government to support operations authorized under U.S. law; (3) Pulsar may be eligible for purchase by foreign national governments, subject to applicable domestic spectrum regulations and U.S. export law.​",
3fd12b85d67897a3,2025,,"David Goodrich OAM, Chairman & CEO, Anduril Australia, said: “Today marks a defining moment in our mission to bring sovereign undersea capability to Australia. With the opening of this new facility, we are not only building local infrastructure and workforce — we are investing in innovation, in partnerships, and in the future defence of our nation. Affordable, disruptive and distributed mass is a central tenet of undersea deterrence, and we look forward to supporting Australia and its allies by producing Ghost Sharks right here in Sydney.”",
af503f5e6b5c9d73,2024,,"Lattice for Mission Autonomy makes it possible to compose different platforms and payloads, made by different vendors, into different mission solutions for different mission requirements.",
51fe0e6251f296b9,2024,Long Endurance,The 3-ton Dive-LD is able to autonomously conduct missions for up to 10 days with an architecture that scales for multi-week missions.,
dfe0050eec4a939e,2025,,"There is much more to come on surface-launched Barracuda-500. This most recent test is just a moment in its development process. The end capability will ultimately provide the U.S. and our allies around the world with a new option for long range precision fires that is not only capable, but is also more producible, affordable, and flexible than existing solutions on the market today. And we’ll get there the same way we always have: by continuing to invest our own dollars, at risk, to build something that we know American and allied warfighters need today.",
8d2aea13a082ce64,2024,,"With respect to all categories of personal information, see Part VII: Deletion and Retention. If we de-identify or anonymize your personal information, we may maintain it in anonymized form and not attempt to re-associate the information with you except to test our de-identification procedures.",
6e5cc3d77610251b,2025,,Our path forward into this new era is led by a critical program and fueled a critical milestone: we recently began flight testing for Anduril’s YFQ-44A Collaborative Combat Aircraft. YFQ-44A is designed to gain and maintain air superiority in highly contested environments through a focus on autonomy and affordable mass — a paradigm shift in how the United States will employ and project combat airpower this decade and beyond.,
1d8d236f6c5a025a,2024,,"of Anduril’s Space business. Anduril remains committed to fostering partnerships with leading companies from across the commercial and defense space industries to deliver the most advanced, relevant capabilities to the warfighter on accelerated timelines and at an unprecedented scale.",
0d14b4a0cc867184,2025,,"Our team brings together the smartest Silicon Valley engineers with veterans who have been on the front lines and have first-hand knowledge of the mission. Our engineers are experts in AI, robotics, advanced sensors, secure networking, aerospace, virtual reality technology, aircraft modeling and simulation. Military veterans are more than 20% of our team and use their defense experience to ensure our products meet the needs of servicemen and women in the battlefield.",
bf61609b76e25653,2025,,"Almost all stock owned by current and former Andurilians is subject to a right of first refusal (ROFR). This means that shares can only be sold if the seller first offers Anduril the opportunity to repurchase the stock, or to assign the sale to a buyer of Anduril’s choosing. Any attempted sale that does not follow this requirement is void. Most employee stock is also subject to outright transfer restrictions, meaning, separate from the ROFR, any attempted transfer that is not authorized by Anduril’s board of directors is void.",
4308b160f5f10e10,2025,Distributed C2,Automatically breaks down operator intent into discrete tasks that are distributed across unmanned systems to best accomplish missions under human supervision​ ​,
cb7c35128ead8682,2024,,"To exercise your rights as set out above, please contact us by you may submit a request to",
3c7d389cd05f05a0,2024,,"As a merchant supplier of satellite buses, Apex will provide its off the shelf spacecraft designed for mass manufacturing. These productized buses offer Anduril the scale, quality, and reliability it needs to advance their missions in space.Satellite buses provide necessary components for any spacecraft, allowing systems to maneuver, communicate, provide power, and more. Apex’s productized satellite buses are unique in their rapid manufacturability, allowing the company to deliver high-quality spacecraft in quantity at a pace necessary to meet critical mission needs.",
6732548c115fba81,2025,,"Anduril is excited to exhibit at AUSA between October 10-12 in Washington, D.C.",
050b66df12223ed6,2025,,"Service providers. We may share your personal information internally and with service providers, vendors, agents and other third parties in connection with recruiting, employment, corporate governance, acquisitions and legal or regulatory requirements, including background checking services.",
f976253432c4daa6,2025,Open Data Models,"Lattice’s open data models allow any developer to create, enrich, and reference entity data, craft and interpret C2 tasking messages, and integrate C2 applications, robots, and tactical data link assets.",
f2c49b398712042e,2024,,"Usability also means safety. With physical and software safety features including an electronic safe and arm device (ESAD), operators can safely and reliably disarm the munition for safe transport, return to base, and redeployment.",
09d8695393b12ca6,2025,,"This was no tabletop exercise. Soldiers fired 26 live missions with M777 howitzers on Fort Carson’s live-fire ranges, running AXS side-by-side with legacy crews. The contrast was visible: one team struggling with delays, the other firing digitally in seconds. Ivy Sting 1 proved that NGC2 works under operational conditions and set the stage for future events that will scale across more nodes and integrate partner applications.",
925ece493a465a7f,2024,,"The Bolt family of systems is the latest example of how Anduril is transforming U.S. and allies defense capabilities with software and hardware. From Ghost-X to Altius and beyond, Anduril continues rapidly develop, iterate-on, and deliver the expeditionary capabilities that warfighters need on timelines that are relevant to the fight.",
0fdaa9eb7c8e2778,2025,,"We support operations with the US Department of Defense, the US Department of Homeland Security, the Australian Defence Force, the UK Ministry of Defence, and other partners around the world.",
1332bbddcecd4248,2025,,"Unlike fixed seafloor surveillance systems—which are expensive to place and maintain—Seabed Sentry is a network of ‘cable-less’ deep-sea nodes that sense, process, and communicate critical subsea information at the edge in real time. Powered by the Lattice AI software platform and able to support several payload variations, Seabed Sentry can be deployed by AUVs to form a defense grid, supporting the protection of key maritime regions and infrastructure. It has an open systems architecture for rapid integration of first or third-party sensors and payloads customized to the commercial or defense missions including seabed survey, marine pattern of life building, port security, critical infrastructure protection, anti-submarine warfare, and anti-surface warfare. Seabed Sentry exclusively leverages Ultra Maritime’s Sea Spear, enabling long range sensing capabilities in the most remote underwater environments.",
5f822b526991d768,2025,,Copperhead can rapidly conduct wide-area surveillance for rapid-response missions like Search and Rescue or Critical Infrastructure Inspection. ​,
365156aee74633c0,2025,,"Steel Knight marked the first time the Menace FoS operated as a unified network, integrating strategic and tactical nodes into a cohesive data mesh, the",
646306c451a622d8,2025,,", which securely distributes data across services, domains, and platforms in degraded environments. Today, Lattice Mesh connects thousands of Anduril and third-party systems worldwide, supporting real-world operations with a decentralized, peer-to-peer approach to data sharing. Our Lattice Partner Program will enable current and future customers of Lattice to gain access to data and insights acquired by similar projects across combatant commands and services.",
7f977ff5fbcbcf9d,2025,,Thinkers and doers working interdependently. We bring the brightest minds and best-in-class talent together with veterans who have lived the problems of our warfighters. Meet,
b7ecb8db3865fb7e,2024,Washington DC,"With close proximity to the Hill, the National Mall and the Pentagon, our DC office is the home of our business development and government relations teams.",
aa5542b1579d0453,2025,,Anduril Awarded Defense Production Act Investment To Expand Solid Rocket Motors Industrial Base,
d38b020630893c32,2024,,"Anduril’s journey in the space sector began at the 2021 Space Force Pitch Day, quickly advancing from a Small Business Innovation Research (SBIR) Phase II initiative to a Phase III project, and now, a full Program of Record. Few programs achieve such rapid progression in just four years, but our pace of innovation and delivery through partnership with the USSF is unmatched.",
46e1135f166c9fe4,2024,,"Anduril’s Roadrunner system, a high-explosive vertical takeoff and landing (VTOL) interceptor unveiled last year, has been developed to rapidly intercept and neutralize larger UAS threats with unmatched speed, maneuverability, and cost efficiency. Paired with Anduril’s Pulsar family of AI-enabled electronic warfare systems, this new generation of UAS defense capability will be deployed to operational sites in priority regions where U.S. forces face significant UAS threats, further enhancing U.S. air defense capabilities at the tactical edge.",
d91ba3977458a589,2025,,"Anduril Industries today promoted two executives, Christian Brose and Matthew Steckman, to enhanced roles within the company.",
0c58388a2d9792df,2024,,"The Standard Range Sentry Tower provides clear, long range surveillance of ground-based objects of interest day or night.",
37c3aac1d0a1d627,2025,,"Subject to the terms and conditions of this Agreement, the Service is solely for User’s personal use. Anduril may change, suspend or discontinue the Site at any time, including the availability of any feature, database, or content. Anduril may also impose limits on certain features and services or restrict User’s access to parts or all of the Site without notice or liability. User certifies to Anduril that if User is an individual (i.e., not a corporation) User is at least 18 years of age. User also certifies that it is legally permitted to use the Service, and takes full responsibility for the selection and use of the the Site. This Agreement is void where prohibited by law, and the right to access the Site is revoked in such jurisdictions. If User desires to access any of the products or services that Anduril offers through the Site (the “Services”), User must enter into a separate agreement with respect to such access and nothing in this Agreement shall be deemed to provide any right or license to use or access such Services. Additional information regarding the Services and any applicable fees can be found at",
