chunk_id,year,heading,text,label
73d570801a46fd13,2026,Collaboration across borders,"We are hiring across all our offices in our Palo Alto headquarters, Seattle, San Francisco, Tennessee, and London UK. We prioritize in-person work to support our fast-paced, collaborative projects. Exceptional candidates are welcome to apply from anywhere.",process_logistics
5377af53b8ed87e0,2024,"PA, SF, LDN","We are currently hiring in downtown San Francisco, Palo Alto, and London, UK. Although we prefer to work in-person, we also offer remote work opportunities for exceptional candidates.",process_logistics
8e3cf10958f675db,2023,Join Us,We are actively recruiting experienced engineers and researchers to join our team as members of our technical staff in the Bay Area. Please fill out this form to apply.,process_logistics
17870be8f3ffa91e,2026,No goal is too ambitious,We embrace the most challenging obstacles by always pushing the limits of what's possible. We are motivated by what has never been done before.,mission_brand
1e4babc56dbd1e6f,2025,Step-by-step,"After you submit your application, our team will review your CV and your statement of exceptional work. If your application clears the initial review, you will be invited to a 15-minute phone interview where a team member will ask you some basic questions. If you pass this phone interview, you will proceed to the main selection process, which includes four technical interviews: Three 1-on-1 interviews focusing on coding, systems design, or research. A team interview, where you will meet more team members and deliver a 20-minute presentation on the most challenging technical problems you have solved. We aim to complete this process within one week. We do not use recruiters for assessments. All applications are evaluated by our technical team members. All interviews will be conducted via Google Meet.",process_logistics
2830f121e07d6b70,2024,Grok-1.5 on X,We released Grok-1.5 to all X Premium users across all jurisdictions.,mission_brand
37c96adfbe60d0be,2024,Company announcement,"""Hello World!"" . We announced the formation of xAI with the mission to understand the universe.",mission_brand
4a4c12fca75a2184,2024,"London, UK","Our London team consists of highly experienced engineers who works on large-scale distributed systems across data, research, and product.",job_listing
9d4da89f9d4e4987,2026,xAI Raises $20B Series E,xAI is rapidly accelerating its progress in building advanced AI.,mission_brand
b334a145d56258ed,2024,About xAI,xAI is a new company working on building artificial intelligence to accelerate human scientific discovery. We are guided by our mission to advance our collective understanding of the universe.,mission_brand
5fbedbbda0b3568c,2026,Move quickly and fix things,Our approach to rapid development and iteration allows us to innovate at breakneck speeds. We’re not interested in speed for speed’s sake—we’re here to solve real problems.,mission_brand
60383c4b8213b027,2026,Health and wellness,"Comprehensive health insurance including medical, dental, vision, and disability coverage.",benefits_perks
fbacf244bbdac4d6,2025,Health and wellness,"Comprehensive health insurance including medical, dental, vision, and disability coverage.",benefits_perks
cc7ba5ea18af3cb2,2024,Location,"We are currently hiring in the San Francisco Bay Area, where we have offices in downtown San Francisco and in Palo Alto, and in London, UK. Although we prefer to work in-person, we offer remote work opportunities for exceptional candidates.",process_logistics
3ffab867b90e105c,2025,Grok 3,We released our latest Grok-3 models with reasoning and DeepSearch.,mission_brand
5774a906686d56f0,2025,No goal is too ambitious,We embrace the most challenging obstacles by always pushing the limits of what's possible. We are motivated by what’s unprecedented.,mission_brand
4a40c88d489fb5b9,2023,Relation to X Corp,"We are a separate company from X Corp, but will work closely with X (Twitter), Tesla, and other companies to make progress towards our mission.",mission_brand
55a61bbe25779735,2026,Flexible vacation,We work hard but avoid burn out. Take time off when you need it.,benefits_perks
b63da38749b8765b,2026,Grok Imagine 1.5,"grok-imagine-video-1.5-preview, our latest image-to-video model, is now available via the xAI API in preview.",mission_brand
22cfca8a9337ee19,2024,Partnerships,We partner closely with X Corp to bring our technology to more than 500 million users of the X app.,mission_brand
8be7a44f8de229c1,2024,Benefits,We offer the following employee benefits: Unlimited paid time off subject to prior approval,benefits_perks
8ce9f7b8b178087d,2025,Grok-1.5,Our improved flagship model finishes training and is stronger across the board from reasoning to coding.,mission_brand
966edfabf422f583,2025,Submit your application,Our team will review your CV and statement of exceptional work.,process_logistics
05964aed2468add3,2026,No goal is too ambitious,We embrace the most challenging obstacles by always pushing the limits of what's possible. We are motivated by what’s unprecedented.,mission_brand
59d374c0141eeb97,2025,Competitive compensation,Competitive cash and equity-based compensation packages to attract top talent.,benefits_perks
3b61a2f28a0eed0b,2024,Grok-1.5,Our improved flagship model finishes training and is stronger across the board from reasoning to coding.,mission_brand
174213ad56e18c29,2026,Interview process,We generally do not use recruiters for assessments. Applications are evaluated by our technical team members. Interviews will be conducted via virtual meetings and/or onsite.,process_logistics
65aebba1a673223b,2026,Reasoning from First Principles,"We challenge conventional thinking by breaking down problems to their fundamental truths, grounded in logic.",mission_brand
dd7a85e5c1689a3b,2025,Announcing Grok for Government,We are excited to announce Grok For Government – a suite of frontier AI products available first to United States Government customers.,mission_brand
cc2f98eff4441858,2026,Life and family,Life and AD&D insurance and fertility benefits to ensure our team's well-being.,benefits_perks
d914de87451052e3,2025,PromptIDE,We announce the early-access release of the PromptIDE - our integrated development environment for prompt engineering.,mission_brand
9d4e765e2bc2d4f4,2026,Interview process,We generally do not use recruiters for assessments. Applications are evaluated by our technical team members.,process_logistics
3378472934d9727e,2026,Visa sponsorship,We support international talent with visa sponsorship to join our team.,benefits_perks
af93e793e6de2be6,2023,Team,"Our team is led by Elon Musk, CEO of Tesla and SpaceX . We have previously worked at DeepMind , OpenAI , Google Research , Microsoft Research , Tesla , and the University of Toronto . Collectively we contributed some of the most widely used methods in the field, in particular the Adam optimizer , Batch Normalization , Layer Normalization , and the discovery of adversarial examples . We further introduced innovative techniques and analyses such as Transformer-XL , Autoformalization , the Memorizing Transformer , Batch Size Scaling , μTransfer , and SimCLR . We have worked on and led the development of some of the largest breakthroughs in the field including AlphaStar , AlphaCode , Inception , Minerva , GPT-3.5 , and GPT-4 .",mission_brand
40e29aba15c3f249,2024,PromptIDE,We announce the early-access release of the PromptIDE - our integrated development environment for prompt engineering.,mission_brand
66681b0fafa38db8,2026,Offer extended,"If you've demonstrated the exceptional skills and mindset we're looking for, we'll extend an offer to join xAI.",process_logistics
9b256e2c4808b0e2,2025,"PA, SF, LDN","We are currently hiring in downtown San Francisco, Palo Alto, and London, UK. Although we prefer to work in-person, we also offer remote work opportunities for exceptional candidates.",process_logistics
815137f6767d4670,2026,Technical Interviews,"Sessions where we dive deep into your technical expertise. This isn't just about solving puzzles; it's about understanding how you approach complex problems, your coding style, and your ability to think critically under pressure.",process_logistics
