chunk_id,year,heading,text,label
746292182652cb51,2011,The Environment,"We want you to be able to produce your best work here at Shopify. You can wear whatever clothing you like, start work late in the morning, and play video games whenever you need a break. The office is also located in the trendy Ottawa market so there are lots of cool places to eat and play after work.",benefits_perks
1dd9e80d6368df61,2017,Here’s some advice to get you started,"“Don’t worry about what you don’t know. Show us that you’re eager and ready to learn.” Gillian Massel Summer 2015, now full-time “You can show that you are a fun and interesting person. It’s all the different and quirky personalities here at Shopify which makes it such a great workplace!” Jonathan Smith Summer & Fall 2015 “For technical interviews, don’t fixate on solving the problem correctly. How you approach the problem and what you do when you get stuck are equally important.” Michael Lutaaya Summer & Fall 2014, 2015 “Do your homework on Shopify and the role. Be authentic. Show us what you’re passionate about, and don’t be nervous! It’s just a casual conversation.” Jess Verbruggen Summer & Fall 2015, now full-time",employee_story
a03a69c7a944978c,2018,You'll need to (in no particular order):,Have strong reading & writing skills. Have a track record of being resourceful and getting sh*t done. Be able to work under pressure.,mission_brand
03a5e915509b6138,2024,"Notice to UK, EEA, AU, and California Candidates","You have rights to correct, update, and request access to your personal information and information about our processing of your personal information; request rectification of your personal informaation held by us; request that we cease or suspend the processing your personal information; request that we delete your personal information; request that we port your personal information to another service provider; request that we restrict our processing of your personal information (including limiting the use of sensitive personal information, as applicable); object to certain processing activities (e.g. profiling activities based on our legitimate interests, automated decision making, etc.); lodge a complaint with the relevant data protection supervisory authority in your jurisdiction. In Ireland, the Data Protection Commission is the relevant supervisory authority. You can contact them using the contact information provided on their website. When Shopify has obtained your consent to process your personal information, under applicable law your consent may be withdrawn at any time with future effect. If this applies and you withdraw consent, it will not invalidate (1) the lawfulness of any processing Shopify conducted prior to the withdrawal, or (2) Shopify’s continued processing of some or all of your personal information under other legal bases, where applicable. Please note that we may need to verify your identity before facilitating or enabling you to exercise your personal information rights, and thus may request certain information from you when you submit any such requests. Under applicable law, you may also submit personal information requests through an authorized agent, in which case, we may request further information to verify the authenticity of the request and the agent’s authorization to act on your behalf.",legal_boilerplate
86df1e1dbd845fb5,2019,Interests,"Professional development, personal development, learning from others, problem solving, entrepreneurship, experimentation.",mission_brand
99a6f4595e141628,2015,"Toronto, Ontario","The Toronto office lives in a heritage building at King West and Spadina Avenue. It's within walking distance of some of the city’s best neighbourhoods and the local startup community. You'll find a beautiful view of the CN Tower and great food at this newly renovated and growing office, where we focus on marketing and growth.",navigation_junk
f67b65e074713fd0,2015,Not what you're looking for?,"Don't worry, we're growing and exciting positions come up often. Sign up to receive email updates when other Engineering positions are posted for our Toronto, ON office.",process_logistics
9410cb19f015d079,2026,Where do you see yourself?,"Follow your craft. Apply to work for Shopify and we’ll find your first role during the interview process. Or, search the type of roles we hire for and into.",process_logistics
7ad87aa8f4b21ecd,2018,Our Offices,"Shopify has offices in Ottawa, Toronto, Montreal, Waterloo, and San Francisco. We also have employees working remotely in cities across the globe.",navigation_junk
92ae7fa53699ae5d,2026,Chase excellence,"Joining our team means working with the most driven crafters who pursue mastery. But growth isn’t just an opportunity, it’s an expectation. With resources to help you, you’ll be pushing yourself out of your comfort zone.",mission_brand
