chunk_id,year,heading,text,label
d9552d4d1fd5ca43,2025,Independent Software Vendor,"Partners who develop, market, and sell NVIDIA accelerated computing and software-optimized applications designed for commercial and enterprise organizations.",job_listing
19301bbcecc9fd84,2014,Careers,Each employee can make a difference – help us invent the future.,mission_brand
7117135e40767377,2007,,"As a world leader in visual computing technology NVIDIA's objective remains solid: to be the most important 3D company in the world. We invest in our people and our technologies, support and fund industry research around the world, and consistently deliver quality, competitively priced products to our customers. NVIDIA's culture promotes and inspires our team of world-class engineers and developers to be at the top of their game. We've created an environment where talents are recognized and collaboration is valued. Our employees are shaping the world of tomorrow...today. We invite you to explore the opportunities available at NVIDIA - just click on the link to see what your future may hold. We love what we do because we do what we love. Join us. HOW TO SUBMIT YOUR RESUME: Apply online Email us at hr@nvidia.com Create an account (if you don't see an opening that interests you now) Note to Applicants: Due to poor image quality, NVIDIA no longer accepts faxed resumes. If you wish to submit your resume, please submit online through this website or send us a hard copy via regular mail. NVIDIA conducts background checks as a condition of employment.",process_logistics
9ef40b66e69b2416,2026,Tracking Technology in Our Emails,"NVIDIA emails may contain tracking pixels that will record each time an individual has opened an email, whether they clicked on any links in that email and whether they replied to or forwarded that email. This helps us measure the effectiveness of our marketing email campaigns. You can set your email options to prevent the automatic downloading of such tracking technologies by disabling external images in emails. You can do this by choosing whether emails will display “remote images”, “remote content” or “images” by default via your email settings. If you have any questions or concerns about our use of cookies or this Cookie Policy, please contact us at: privacy@nvidia.com . You are encouraged to periodically review this Cookie Policy to stay informed of any updates.",legal_boilerplate
83d73d7717477bc8,2018,"Last updated: April 3, 2017","Class Action & Jury Trial Waiver. ALL CLAIMS MUST BE BROUGHT IN THE PARTIES' INDIVIDUAL CAPACITY, AND NOT AS A PLAINTIFF OR CLASS MEMBER IN ANY PURPORTED CLASS OR REPRESENTATIVE PROCEEDING. THIS WAIVER APPLIES TO CLASS ARBITRATION UNLESS SUCH ARBITRATION IS NECESSARY TO EFFECTUATE THE ENFORCEMENT OF THE COURT CLASS ACTION WAIVER OR IN THE EVENT THAT CLASS ARBITRATION IS EXPRESSLY AGREED TO BY NVIDIA. YOU AGREE THAT, BY ENTERING INTO THE AGREEMENT, YOU AND NVIDIA ARE EACH WAIVING THE RIGHT TO A TRIAL BY JURY OR TO PARTICIPATE IN A CLASS ACTION. Right to Opt Out. YOU MAY OPT OUT OF THE FOREGOING ARBITRATION AND CLASS ACTION/JURY TRIAL WAIVER PROVISION OF THE AGREEMENT BY NOTIFYING NVIDIA IN WRITING WITHIN 30 DAYS OF COMMENCEMENT OF USE OF GFN UNDER THE AGREEMENT. SUCH WRITTEN NOTIFICATION MUST BE SENT TO ATTN: LEGAL, 2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CALIFORNIA, 95050 AND MUST INCLUDE (1) YOUR NAME, (2) YOUR ADDRESS, (3) THE REFERENCE TO GFN FOR PC AS THE SERVICE THE NOTICE RELATES TO, AND (4) A CLEAR STATEMENT INDICATING THAT YOU DO NOT WISH TO RESOLVE DISPUTES THROUGH ARBITRATION AND DEMONSTRATING COMPLIANCE WITH THE 30 DAY TIME LIMIT TO OPT OUT. The Agreement, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by NVIDIA without restriction. Any attempted transfer or assignment in violation hereof shall be null and void. If NVIDIA needs to contact you about GFN, you consent to receive the notices by email or through the service. You agree that any such notices that NVIDIA sends you electronically will satisfy any legal communication requirements.",legal_boilerplate
89a0d1be8ae0380f,2018,"Last updated: April 3, 2017","2. IMPORTANT SAFETY AND HEALTH NOTICE NVIDIA hopes you will find the use of GFN enjoyable and do not suffer personal injury, illness, catastrophic injury, or death. However, for some individuals under certain circumstances, using GFN (or your Content on GFN) might have harmful effects on your health or safety. Some of these risks are described in this section. You are solely responsible for assessing your vulnerability to these risks, and choosing whether or not to use GFN. You waive NVIDIA’s liability for any liabilities, damages, losses, costs and expenses that result from these risks. A very small percentage of individuals may experience epileptic seizures or blackouts when exposed to certain light patterns or flashing lights. Exposure to certain patterns or backgrounds on a television screen or when playing content such as video games may trigger epileptic seizures or blackouts in these individuals. These conditions may trigger previously undetected epileptic symptoms or seizures in persons who have no history of prior seizures or epilepsy. If you or anyone in your family has an epileptic condition or has had seizures of any kind, consult your physician before playing. IMMEDIATELY DISCONTINUE use and consult your physician before resuming play if you experience any of the following health problems or symptoms: dizziness, altered vision, eye or muscle twitches, loss of awareness, disorientation, seizures or any involuntary movement or convulsion. RESUME PLAY ONLY ON APPROVAL OF YOUR PHYSICIAN. Stop using GFN immediately if you experience any of the following symptoms: lightheadedness, nausea or a sensation similar to motion sickness, discomfort, pain, throbbing, aching, tingling, numbness, burning sensation, stiffness or pain in the eyes, ears, hands, arms or any other part of the body. If the condition persists, consult a doctor.",legal_boilerplate
4820beb75aba9d7a,2017,DANIEL Software Security,"Coming here as an intern more than a decade ago, I got a chance to work in departments throughout the company. It exposed to me to a range of disciplines pretty quickly. I realized that product engineering is my real love, and that's what I'm doing now. It brings me great joy to know I'm making a real contribution to the world through technical innovation every day. I signed on under the New College Grads training program, which gave me exposure to a variety of business units and disciplines, including software, hardware, programming and design. The culture of teamwork here has helped shape my career path. Now, I'm focused on creating faster, more power efficient GPUs and on mentoring team members. Deep learning is changing the world – and NVIDIA is at the heart of it. Healthcare, energy, automotive and beyond – they’re all working to harness deep learning. And we’re working with all of them. I love being at a company that’s driving the next computing revolution. Fresh out of school with a master's degree, I came here as an intern and never left. NVIDIA's given me the chance to work in lots of roles, including graphics drivers, managing GPU chip design, engineering training and software security. After nearly two decades, there are still plenty of growth opportunities. I’m excited to explore deep learning methods for platform security.",employee_story
2c6d974d1b3d5fea,2016,NVIDIA Privacy Policy/Your California Privacy Rights,"Links to Other Sites We are not responsible for any content, products or services offered on any third-party websites. Links to third-party websites are provided for your convenience only. This Privacy Policy will not apply to any Personal Information that you provide to, or that is collected by, any third-party website operator or third-party product/service provider. Additionally, our site may include social media features such as Facebook, Twitter and Pinterest buttons (such as ""Like,"" ""Tweet"" or ""Pin""). These social media sites may automatically record information about your browsing behavior every time you visit a site that has a social media button, regardless of whether you click on the button. Your interactions with these features are governed by the privacy policy of the company providing the feature, not by our privacy policy. Please review your privacy settings on social media sites. Security We will take all reasonable and appropriate measures to protect the personal information you share with us from unauthorized access or disclosure. How to Contact Us If you have any questions or concerns about NVIDIA's Online Privacy Policy or Kids Privacy Policy, please send an email to privacy@nvidia.com or write to us at: NVIDIA Corporation, 2701 San Tomas Expressway, Santa Clara, CA 95050. Notice To California Residents – Your California Privacy Rights: Under California Civil Code Section 1798.83 (known as the ""Shine the Light"" law), NVIDIA customers who are residents of California may request certain information about our disclosure of personal information during the prior calendar year to third parties for their direct marketing purposes. To make such a request, please write to us at the following address: In the United States: NVIDIA Corporation 2701 San Tomas Expressway Santa Clara, CA 95050 Alternatively, you may send us an email at CaliforniaPrivacyDisclosure@nvidia.com .",legal_boilerplate
432cfbca34845685,2026,Forward Looking Statements,"Information on (or linked to) the Site, other than statements or characterizations of historical fact, may contain forward-looking statements. These forward-looking statements are based on our current expectations, estimates and projections about our industry, management's beliefs and certain assumptions made by us. These forward-looking statements are subject to a number of significant risks and uncertainties and our actual results may differ materially. For a discussion of factors that could affect our future results and business, please refer to our Annual Report on Form 10-K, subsequent Quarterly Reports on Form 10-Q, recent Current Reports on Form 8-K, and other Securities and Exchange Commission filings. NVIDIA undertakes no obligation to revise or update any forward-looking statements.",legal_boilerplate
dcbc0166b9eb6fd5,2014,,"Job details If you want to remember this job or apply at a later time, click Save job to save it to your personal folder. SOFTWARE QA ENGINEER (EMBEDDED / AUTOMOTIVE) Job ID 1654725 Location India, Bangalore Description SOFTWARE QA ENGINEER (EMBEDDED / AUTOMOTIVE ) #1654725 RESPONSIBILITIES: - The Embedded Quality Assurance team is responsible for flawless delivery of NVIDIAs Software & Product Development Kits centered around our Tegra series of SOCs, which also have an integrated GeForce class GPU - The Development kits comprise of a reference platform driven by the Tegra series of processors with support for various interfaces like Video capture, NAND, NOR, CAN, MOST, Ethernet, SD/MMC, USB, PCIe, SATA, I2C, SPI, UART, LVDS, VGA, HDMI, I2S/TDM/SPDIF Audio, -The backbone of our Development kit packages a Linux/QNX based operating system with drivers for the various supported HW interfaces, Cross-compilers, Source code, an IDE and detailed documentation. - We fully support APIs & standards like OpenGL, OpenVG, OpenKODE, OpenMAX, Gstreamer, CUDA, OpenCL etc. - The Development kits are delivered to customers who seek to implement cutting edge technologies that we have to offer, who then integrate them into real world Embedded products (Netbooks, Gaming devices, Media players, TVs, Set Top Boxes, etc.) and Automotive solutions (Instrument clusters and Infotainment systems). - An Embedded QA engineer is expected to work with all HW and SW components of the development kit and have good depth and breadth of knowledge in the above mentioned technologies High level Responsibilities: - Execute HW and SW test plans  functional, stability and performance testing - Capture and debug issues and work alongside HW & SW Development teams to fix issues - Design and implement test plans for new projects and features - Automate test plan execution to reduce test times and enable consistency - Work with Software Development, Marketing, and other support teams world-wide to ensure that our Software solutions deliver the best possible experience to customers Primary requirements: - Good HW fundamentals surrounding the building blocks of PCs & Embedded systems - Good knowledge Operating System internals: Android / Linux (Kernel, Bootloader, Filesystems, X11, Networking, standard commands and utilities) or QNX - Read C code and understand it at a basic level, while being ab Strong Analytical skills with a mindset that questions assumptions with a willingness to continuously help improve processes and procedures - Confident, self-driven individual with a lot of curiosity, and a desire to add value to an already strong quality team - Burning passion to work on cutting edge technologies, and a constant drive to learn and improve - Highest commitment to deliver the best quality by thinking outside the box, and more importantly  by putting yourself in the customers shoes - Ability to work independently with a willingness to share knowledge with peers to improve the quality of the team on the whole - Awareness of new technologies and important players in the Embedded and Automotive domains, and a desire to outdo the competition Secondary requirements (Must be proficient in at least one or more of the technical skills below): - Prior experience in testing and debuggi Knowledge of Graphics hardware functionality, software APIs like OpenGL, DirectX - Knowledge of Multimedia codecs, containers, APIs and related technology",job_listing
7bb2b4a6a4bb99f1,2025,Solutions Integration Partner,"Partners who focus on the value-added integration and reselling of NVIDIA products, NVIDIA-based solutions, and NVIDIA technologies.",job_listing
72d8f461690d74d6,2026,AI,"Help companies of all sizes embrace industry-changing technologies like RAPIDS to analyze massive amounts of data to make better, faster business decisions.",job_listing
24f1fd37390c8c6d,2025,Visualization,"The Visualization Competency focuses on partners who provide GPU-accelerated visual computing solutions to customers, fueling innovation from desktop to data center to cloud. Based on NVIDIA’s latest technologies for AI, ray tracing, and simulation, NVIDIA RTX solutions enable a new generation of applications and workflows that simulate the physical world and create incredible 3D designs and stunning visual effects at unprecedented speeds.",job_listing
