chunk_id,year,heading,text,label
961202f9db454ca7,2019,Working Toward More Women in Post Production,​Females from across the post-production field tackled the need for more presence behind the camera and throughout the production process at a recent event held at our Los Angeles studio facilities.,mission_brand
d40c6cb9c700080a,2018,Rethinking Netflix’s Edge Load Balancing,"We briefly touched on some of the load balancing improvements we’ve recently been making in our Open Sourcing Zuul 2 post. In this post, we’ll go into more detail on the whys, hows and results of that work. On the Netflix Cloud Gateway team we are always working to help systems reduce errors, gain higher availability, and…",mission_brand
b4eb7028ff596cb1,2022,Finally,"Antoine de Saint-Exupéry, the author of The Little Prince, shows us the way: If you want to build a ship, don't drum up the people to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea. 1 We mean the team of your dreams, not the 1992 men’s USA Olympic basketball team. 2 We generally offer a minimum of four months of full pay as a severance package, giving our ex-teammates time to find a new company. 3 Mostly for our salaried employees; there are many limitations on this for our hourly employees due to legal requirements. 4 Sadly, a few countries’ tax laws do not support employee choice (Singapore, Japan, France, Korea, Taiwan)",mission_brand
74ad01c1ad1b49c9,2022,,Top 10 Week of September 19: ‘DAHMER - Monster’ is the Most Viewed Title This Week; ‘Do Revenge’ Slays the English Films List,navigation_junk
6ce2991d887b53ba,2006,Job Center,"If you would you like to submit a General Application to Netflix, please click here .",process_logistics
c4a9c137199907da,2020,Dream Team,"We have no bell curves or rankings or quotas such as “cut the bottom 10% every year.” That would be detrimental to fostering collaboration, and is a simplistic, rules-based approach we would never support. We focus on managers’ judgment through the “keeper test” for each of their people: if one of the members of the team was thinking of leaving for another firm, would the manager try hard to keep them from leaving? Those who do not pass the keeper test (i.e. their manager would not fight to keep them) are promptly and respectfully given a generous severance package so we can find someone for that position that makes us an even better dream team. Getting cut from our team is very disappointing, but there is no shame. Being on a dream team can be the thrill of a professional lifetime. Given our dream team orientation, it is very important that managers communicate frequently with each of their team members about where they stand so surprises are rare. Also, it is safe for any employee at any time to check in with their manager by asking, “How hard would you work to change my mind if I were thinking of leaving?” In the tension between honesty and kindness, we lean into honesty. No matter how honest, though, we treat people with respect. One might assume that with dream team focus, people are afraid of making mistakes. In fact, it’s the opposite. We try all kinds of things and make plenty of mistakes as we search for improvement. The keeper test is applied as a judgment of someone’s overall expected contribution.",mission_brand
6d91e4dfdd289d2b,2018,Freedom and Responsibility,"Our core philosophy is people over process. Our culture has been instrumental to our success and has helped us attract and retain stunning colleagues, making work here more satisfying.",mission_brand
46ee425236923895,2018,Freedom & Responsibility,"There are companies where people walk by trash on the floor in the office, leaving it for someone else to pick it up, and there are companies where people lean down to pick up the trash they see, as they would at home. We try hard to be the latter, a company where everyone feels a sense of responsibility to do the right thing to help the company at every juncture. Picking up the trash is the metaphor for taking care of problems, small and large, as you see them, and never thinking “that’s not my job.” We don’t have rules about picking up the real or metaphoric trash. We try to create the sense of ownership, responsibility and initiative so that this behavior comes naturally. Our goal is to inspire people more than manage them. We trust our teams to do what they think is best for Netflix — giving them lots of freedom, power, and information in support of their decisions. In turn, this generates a sense of responsibility and self-discipline that drives us to do great work that benefits the company. We believe that people thrive on being trusted, on freedom, and on being able to make a difference. So we foster freedom and empowerment wherever we can.",mission_brand
4f136112806d15a8,2018,Context Not Control,"We want employees to be great independent decision makers, and to only consult their manager when they are unsure of the right decision. The leader’s job at every level is to set clear context so that others have the right information to make generally great decisions. We don’t buy into the lore of CEOs, or other senior leaders, who are so involved in the details that their product or service becomes amazing. The legend of Steve Jobs was that his micromanagement made the iPhone a great product. Others take it to new extremes, proudly calling themselves nano-managers. The heads of major networks and studios sometimes make many decisions in the creative process of their content. We do not emulate these top-down models because we believe we are most effective and innovative when employees throughout the company make and own decisions. We strive to develop good decision-making muscle everywhere in our company. We pride ourselves on how few, not how many, decisions senior management makes. We don’t want hands-off management, though. Each leader’s role is to teach, to set context, and to be highly informed of what is happening. The only way to figure out how the context setting needs to improve is to explore a sample of all the details. But unlike the micro-manager, the goal of knowing those details is not to change certain small decisions, but to learn how to adjust context so more decisions are made well. There are some minor exceptions to “context not control,” such as an urgent situation in which there is no time to think about proper context and principles, when a new team member hasn’t yet absorbed enough context to be confident, or when it’s recognized that the wrong person is in a decision-making role (temporarily, no doubt).",mission_brand
a9dd29595a10d785,2024,PEOPLE OVER PROCESS,"Many of us have worked at companies where decisions were made top down, there was little transparency and it felt hard to make a difference — or even get basic things done. At Netflix, we aim to inspire and empower more than just manage because people can have a greater impact when they’re free to make decisions about their own work. As part of this, we strive to develop good decision-making muscles at every level of the company, priding ourselves on how few, not how many, decisions senior leaders make. We expect managers to practice context not control — giving their teams the context and clarity needed to make good decisions instead of trying to control everything themselves. We also help employees learn by sharing a lot of information internally, including through memos where they can comment and ask questions. It takes an unusually responsible person to thrive on this level of freedom — someone who’s self-motivated, self-aware and self-disciplined, who doesn’t wait to be told what to do and picks up the trash like they would at home. That said, context not control should not be confused with hands-off management. Managers need to be involved in the work being done around them, and actively coach their teams. They may also have to step in when someone is about to make a decision that is unethical or could materially harm Netflix, during a crisis or if a new team member lacks the full context.",mission_brand
